"","ID_unique","CO2_mg_m2_h","CH4_ug_m2_h","Air_temp","pressure_calc_atm","campaign","Site","drying_regime","soil_temp","soil_VWC","flow_state","habitat_type","pool_riffle_depth_cm","Picarro_LGR","total_volume_L","chamber_area_m2","sed_temp","sed_VWC","point","habitat","ecosystem","CO2_g_m2_d","CH4_mg_m2_d","ug_N2ON_m2_h","mg_N2ON_m2_d","Canopy_Cover_Benth","Stock_Benth_g.m2","Max..wetted.width..m.","Min..wetted.width..m.","Ave.wet.width_m","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","Embeddedness....","Discharge..l.s.","Mean_Velocity..m.s.","MeanDur_Ponded","MaxDur_Ponded","MeanDur_Dry","MaxDur_Dry","MeanDur_Flow","MaxDur_Flow","masl","dist.to.per","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Soil_OM","Sed_OM","percent_N","percent_C","CN_ratio","pH","DO_mg_L","DO_percent","cond_us_cm","Temp_water_C","date","totalbiomass_g","grassbiomass_g","herbsbiomass_g","leavesbiomass_g","mossbiomass_g","woodybiomass_g","latitude","longitude","Freq_Flow","Freq_Dry","Freq_Ponded","m_to_source","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","freq_flow_2021","freq_dry_2021","freq_pool_2021","Tsince_manual","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","bedrock","boulders","cobbles","gravel","sand","silt"
"11","2021-03-16_CA02_F1_Picarro",515.262571645173,-3.14959557535024,5.5,0.971081634993116,1,"CA02","perennial",NA,NA,"flowing","",20,"Picarro",3.58571661,0.045238934,NA,NA,"F1","Flowing","Aquatic",12.3663017194842,-0.0755902938084058,NA,NA,44.5,0.398325616,11,6,9.7,15,10,0,0.017,0.576,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.083610493,0.386415708,4.62161738479404,8.22,11.33,101.3,400,9.2,"2021-03-16",NA,NA,NA,NA,NA,NA,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,8.1,521,0.852,816,1230.5,12,1,0,10,67,15,8,0
"12","2021-03-16_CA02_F2_Picarro",478.413816326566,2.93321112728795,5.5,0.971081634993116,1,"CA02","perennial",NA,NA,"flowing","",28,"Picarro",3.64679153,0.045238934,NA,NA,"F2","Flowing","Aquatic",11.4819315918376,0.0703970670549108,NA,NA,44.5,0.398325616,11,6,9.7,15,10,0,0.017,0.576,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.083610493,0.386415708,4.62161738479404,8.22,11.33,101.3,400,9.2,"2021-03-16",NA,NA,NA,NA,NA,NA,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,8.1,521,0.852,816,1230.5,12,1,0,10,67,15,8,0
"13","2021-03-16_CA02_F3_Picarro",1172.24383119353,0.950241927824185,5.5,0.971081634993116,1,"CA02","perennial",NA,NA,"flowing","",50,"Picarro",3.58571661,0.045238934,NA,NA,"F3","Flowing","Aquatic",28.1338519486447,0.0228058062677804,NA,NA,44.5,0.398325616,11,6,9.7,15,10,0,0.017,0.576,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.083610493,0.386415708,4.62161738479404,8.22,11.33,101.3,400,9.2,"2021-03-16",NA,NA,NA,NA,NA,NA,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,8.1,521,0.852,816,1230.5,12,1,0,10,67,15,8,0
"14","2021-03-16_CA02_F4_Picarro",280.45942173946,3.54680918031011,7.5,0.971081634993116,1,"CA02","perennial",NA,NA,"flowing","",19.5,"Picarro",3.64679153,0.045238934,NA,NA,"F4","Flowing","Aquatic",6.73102612174704,0.0851234203274426,NA,NA,44.5,0.398325616,11,6,9.7,15,10,0,0.017,0.576,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.083610493,0.386415708,4.62161738479404,8.22,11.33,101.3,400,9.2,"2021-03-16",NA,NA,NA,NA,NA,NA,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,8.1,521,0.852,816,1230.5,12,1,0,10,67,15,8,0
"15","2021-03-16_CA02_F5_Picarro",184.334768722069,6.30896059807017,6,0.971081634993116,1,"CA02","perennial",NA,NA,"flowing","",17,"Picarro",3.64679153,0.045238934,NA,NA,"F5","Flowing","Aquatic",4.42403444932966,0.151415054353684,NA,NA,44.5,0.398325616,11,6,9.7,15,10,0,0.017,0.576,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.083610493,0.386415708,4.62161738479404,8.22,11.33,101.3,400,9.2,"2021-03-16",NA,NA,NA,NA,NA,NA,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,8.1,521,0.852,816,1230.5,12,1,0,10,67,15,8,0
"16","2021-03-16_CA02_F6_Picarro",185.651395857323,3.88862350201139,6,0.971081634993116,1,"CA02","perennial",NA,NA,"flowing","",27.5,"Picarro",3.58571661,0.045238934,NA,NA,"F6","Flowing","Aquatic",4.45563350057575,0.0933269640482734,NA,NA,44.5,0.398325616,11,6,9.7,15,10,0,0.017,0.576,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.083610493,0.386415708,4.62161738479404,8.22,11.33,101.3,400,9.2,"2021-03-16",NA,NA,NA,NA,NA,NA,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,8.1,521,0.852,816,1230.5,12,1,0,10,67,15,8,0
"17","2021-03-16_CA02_R1_Picarro",26.3684268681691,-18.2086492731913,5.5,0.971081634993116,1,"CA02","perennial",4.1,0.367666666666667,"flowing",NA,NA,"Picarro",5.650420941,0.045238934,NA,NA,"R1","Riparian","Riparian",0.632842244836058,-0.437007582556591,NA,NA,NA,0.398325616,11,6,9.7,15,10,0,NA,NA,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.229513937,10.51184672,45.8004723260008,NA,NA,NA,400,NA,"2021-03-16",17.330878316,0,3.323257666,2.672966667,5.434631935,5.900022048,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-16_CA02_R2_Picarro",65.585250025801,-24.2331597831132,5.5,0.971081634993116,1,"CA02","perennial",4.9,0.383666666666667,"flowing",NA,NA,"Picarro",5.515460476,0.045238934,NA,NA,"R2","Riparian","Riparian",1.57404600061922,-0.581595834794717,NA,NA,NA,0.398325616,11,6,9.7,15,10,0,NA,NA,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.229513937,10.51184672,45.8004723260008,NA,NA,NA,400,NA,"2021-03-16",17.330878316,0,3.323257666,2.672966667,5.434631935,5.900022048,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-16_CA02_R4_Picarro",73.93735548539,-6.75307474675502,7.5,0.971081634993116,1,"CA02","perennial",4.9,0.385666666666667,"flowing",NA,NA,"Picarro",5.620261651,0.045238934,NA,NA,"R4","Riparian","Riparian",1.77449653164936,-0.162073793922121,NA,NA,NA,0.398325616,11,6,9.7,15,10,0,NA,NA,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.229513937,10.51184672,45.8004723260008,NA,NA,NA,400,NA,"2021-03-16",17.330878316,0,3.323257666,2.672966667,5.434631935,5.900022048,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-16_CA02_R5_Picarro",30.5267936957267,-16.1462350305068,6,0.971081634993116,1,"CA02","perennial",5.66666666666667,0.270333333333333,"flowing",NA,NA,"Picarro",5.831376678,0.045238934,NA,NA,"R5","Riparian","Riparian",0.732643048697441,-0.387509640732163,NA,NA,NA,0.398325616,11,6,9.7,15,10,0,NA,NA,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.229513937,10.51184672,45.8004723260008,NA,NA,NA,400,NA,"2021-03-16",17.330878316,0,3.323257666,2.672966667,5.434631935,5.900022048,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-16_CA02_R6_Picarro",28.5690608624966,-9.06991432562242,6,0.971081634993116,1,"CA02","perennial",6.03333333333333,0.381666666666667,"flowing",NA,NA,"Picarro",7.158385414,0.045238934,NA,NA,"R6","Riparian","Riparian",0.685657460699918,-0.217677943814938,NA,NA,NA,0.398325616,11,6,9.7,15,10,0,NA,NA,0,0,0,0,NA,NA,372,0,4543.3,9722.4,27.93693544,59.7834308,7.21,1.33,0.229513937,10.51184672,45.8004723260008,NA,NA,NA,400,NA,"2021-03-16",17.330878316,0,3.323257666,2.672966667,5.434631935,5.900022048,45.920551,5.442415,1,0,0,9170.02,1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-17_BU01_F1_Picarro",86.4527228044572,24.4965584528761,5,0.944405795914418,1,"BU01","intermittent_moderate",NA,NA,"flowing","riffle",27,"Picarro",3.58571661,0.045238934,NA,NA,"F1","Flowing","Aquatic",2.07486534730697,0.587917402869026,NA,NA,89,1.344218236,4.2,2.3,3.2,8,5.3,15,0.0242,0.4789,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.180261925,1.380950171,7.66079786954455,8.33,11.53,100,395,7.5,"2021-03-17",NA,NA,NA,NA,NA,NA,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,7.23,432,0.797,796,3098,8,30,20,10,63,5,2,0
"23","2021-03-17_BU01_F2_Picarro",113.808554886676,48.2752641534561,5.5,0.944405795914418,1,"BU01","intermittent_moderate",NA,NA,"flowing","riffle",18,"Picarro",3.58571661,0.045238934,NA,NA,"F2","Flowing","Aquatic",2.73140531728022,1.15860633968295,NA,NA,89,1.344218236,4.2,2.3,3.2,8,5.3,15,0.0242,0.4789,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.180261925,1.380950171,7.66079786954455,8.33,11.53,100,395,7.5,"2021-03-17",NA,NA,NA,NA,NA,NA,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,7.23,432,0.797,796,3098,8,30,20,10,63,5,2,0
"24","2021-03-17_BU01_F3_Picarro",75.7191413716221,21.7775471256363,5.5,0.944405795914418,1,"BU01","intermittent_moderate",NA,NA,"flowing","pool",23,"Picarro",3.58571661,0.045238934,NA,NA,"F3","Flowing","Aquatic",1.81725939291893,0.522661131015271,NA,NA,89,1.344218236,4.2,2.3,3.2,8,5.3,15,0.0242,0.4789,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.180261925,1.380950171,7.66079786954455,8.33,11.53,100,395,7.5,"2021-03-17",NA,NA,NA,NA,NA,NA,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,7.23,432,0.797,796,3098,8,30,20,10,63,5,2,0
"25","2021-03-17_BU01_F4_Picarro",67.0506574075911,18.1768753834163,5.5,0.944405795914418,1,"BU01","intermittent_moderate",NA,NA,"flowing","riffle",24,"Picarro",3.58571661,0.045238934,NA,NA,"F4","Flowing","Aquatic",1.60921577778219,0.436245009201991,NA,NA,89,1.344218236,4.2,2.3,3.2,8,5.3,15,0.0242,0.4789,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.180261925,1.380950171,7.66079786954455,8.33,11.53,100,395,7.5,"2021-03-17",NA,NA,NA,NA,NA,NA,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,7.23,432,0.797,796,3098,8,30,20,10,63,5,2,0
"26","2021-03-17_BU01_F5_Picarro",61.2204313403404,16.0688815636111,5.5,0.944405795914418,1,"BU01","intermittent_moderate",NA,NA,"flowing","pool",33.7,"Picarro",3.58571661,0.045238934,NA,NA,"F5","Flowing","Aquatic",1.46929035216817,0.385653157526666,NA,NA,89,1.344218236,4.2,2.3,3.2,8,5.3,15,0.0242,0.4789,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.180261925,1.380950171,7.66079786954455,8.33,11.53,100,395,7.5,"2021-03-17",NA,NA,NA,NA,NA,NA,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,7.23,432,0.797,796,3098,8,30,20,10,63,5,2,0
"27","2021-03-17_BU01_F6_Picarro",56.3885816841148,14.6940081727247,4.5,0.944405795914418,1,"BU01","intermittent_moderate",NA,NA,"flowing","riffle",17,"Picarro",3.58571661,0.045238934,NA,NA,"F6","Flowing","Aquatic",1.35332596041876,0.352656196145393,NA,NA,89,1.344218236,4.2,2.3,3.2,8,5.3,15,0.0242,0.4789,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.180261925,1.380950171,7.66079786954455,8.33,11.53,100,395,7.5,"2021-03-17",NA,NA,NA,NA,NA,NA,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,7.23,432,0.797,796,3098,8,30,20,10,63,5,2,0
"28","2021-03-17_BU01_R1_Picarro",27.8113842857289,-7.90241285520476,5,0.944405795914418,1,"BU01","intermittent_moderate",5.13333333333333,0.349,"flowing",NA,NA,"Picarro",6.509960691,0.045238934,NA,NA,"R1","Riparian","Riparian",0.667473222857494,-0.189657908524914,NA,NA,NA,1.344218236,4.2,2.3,3.2,8,5.3,15,NA,NA,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.160922899,2.611378111,16.2275109833809,NA,NA,NA,395,NA,"2021-03-17",30.515647123,0.21934,2.381654244,7.58240328,19.00392312,1.328326479,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-17_BU01_R2_Picarro",25.7916371404864,-8.9710922341627,5.5,0.944405795914418,1,"BU01","intermittent_moderate",5.1,0.339666666666667,"flowing",NA,NA,"Picarro",6.298845664,0.045238934,NA,NA,"R2","Riparian","Riparian",0.618999291371674,-0.215306213619905,NA,NA,NA,1.344218236,4.2,2.3,3.2,8,5.3,15,NA,NA,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.160922899,2.611378111,16.2275109833809,NA,NA,NA,395,NA,"2021-03-17",30.515647123,0.21934,2.381654244,7.58240328,19.00392312,1.328326479,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-17_BU01_R3_Picarro",36.8994017032909,-4.40959721528385,5.5,0.944405795914418,1,"BU01","intermittent_moderate",5.26666666666667,0.402,"flowing",NA,NA,"Picarro",6.555199625,0.045238934,NA,NA,"R3","Riparian","Riparian",0.885585640878982,-0.105830333166812,NA,NA,NA,1.344218236,4.2,2.3,3.2,8,5.3,15,NA,NA,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.160922899,2.611378111,16.2275109833809,NA,NA,NA,395,NA,"2021-03-17",30.515647123,0.21934,2.381654244,7.58240328,19.00392312,1.328326479,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-17_BU01_R5_Picarro",16.4338020351451,-3.52049600834516,4.5,0.944405795914418,1,"BU01","intermittent_moderate",4.7,0.339666666666667,"flowing",NA,NA,"Picarro",6.344084599,0.045238934,NA,NA,"R5","Riparian","Riparian",0.394411248843482,-0.0844919042002838,NA,NA,NA,1.344218236,4.2,2.3,3.2,8,5.3,15,NA,NA,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.160922899,2.611378111,16.2275109833809,NA,NA,NA,395,NA,"2021-03-17",30.515647123,0.21934,2.381654244,7.58240328,19.00392312,1.328326479,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-17_BU01_R6_Picarro",31.787392055036,-6.18018903191652,4.5,0.944405795914418,1,"BU01","intermittent_moderate",4.93333333333333,0.367333333333333,"flowing",NA,NA,"Picarro",6.871872164,0.045238934,NA,NA,"R6","Riparian","Riparian",0.762897409320864,-0.148324536765996,NA,NA,NA,1.344218236,4.2,2.3,3.2,8,5.3,15,NA,NA,1.555555556,4,13.66666667,95,22,196,554,1655,2763.8,515.4,84.28275189,15.71724811,6.22,3.77,0.160922899,2.611378111,16.2275109833809,NA,NA,NA,395,NA,"2021-03-17",30.515647123,0.21934,2.381654244,7.58240328,19.00392312,1.328326479,45.899826,5.39636,0.602389078,0.351535836,0.046075085,1327.798,1,1,0,0,0,0,0.723287671232877,0.224657534246575,0.0520547945205479,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
