"","Site","campaign","habitat","drying_regime","flow_state","mean_CH4_mg_m2_d","mean_CO2_g_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_rewet","Tsince_manual","percent_C","percent_N","CN_ratio","CN_ratio.LECA","Canopy_Cover_Rip","Canopy_Cover_Benth","Tree_div","Leaf_Fall_m2.Day","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","filamentous.algae","X..wood.cover","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_CH4_mg_m2_d","aquatic_conditions"
"11","AL01","6","Flowing","perennial","flowing",0.264133679363121,1.9505142748281,NA,NA,13,NA,NA,2.0644,7.3,NA,0,20,77,2,1,0,NA,10.67,7.44,424,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264133679363121,"Flowing"
"12","AL01","6","Riparian","perennial","flowing",-0.198013099518305,1.29851279793791,6.60833333333333,0.374833333333333,NA,NA,NA,1.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264133679363121,"Flowing"
"13","AL01","7","Flowing","perennial","flowing",0.142302180555167,1.27653537812109,NA,NA,9,NA,NA,-2.1222,4.6,0.0243,5,25,60,5,5,0,2.35,11.15,7.87,414,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,0.887065116,0.152996079,5.7979598026169,5.7979598026169,NA,56,10,2.482638252,6.397375263,2.3,0,0.005,902,0,3708.4,0,100,4.3,1.5,19,11,0,10,30,NA,244.5,39,NA,482,8.55,98.7,0.131,318.5,3961.5,3,13,0.142302180555167,"Flowing"
"14","AL01","7","Riparian","perennial","flowing",-0.0388308910495436,0.589024889485256,3.53333333333333,NA,NA,NA,NA,-1.693,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,NA,414,0.890710383,0,0.109289617,46.082816,5.619329,3631.301,1,0,0,1,1,0,0,0,0,NA,NA,10.24964591,0.365673162,28.029527389817,28.029527389817,79.5,NA,10,2.482638252,6.397375263,2.3,0,NA,902,0,3708.4,0,100,4.3,1.5,19,11,0,10,30,NA,244.5,39,NA,482,NA,NA,NA,NA,NA,NA,NA,0.142302180555167,"Flowing"
"15","AL02","1","Flowing","intermittent_long","flowing",2.63510884329163,0.267920167680468,NA,NA,29.8,NA,NA,7.33333333333333,5.1,0.2504,50,10,35,5,0,0,4.55,14.29,8.43,391,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,1,0.387096774193548,0,0.580645161290323,0,0.032258064516129,9,8,1.715524472,0.233388258,7.35051748833054,7.35051748833054,NA,9.5,9,0.758000752,0.592440797,7.4,0,0.174,803,16025.8,7755.3,59.10765724,28.60372738,12,2.3,22,17,25,1,1,17.0952381,10.52380952,1,100,34,7.39,129,0.505,554,2208,43,6,2.63510884329163,"Flowing"
"16","AL02","1","Riparian","intermittent_long","flowing",-0.428553369010209,0.835141388733061,1.78333333333333,0.267666666666667,NA,NA,NA,7.91666666666667,NA,NA,NA,NA,NA,NA,NA,NA,4.55,NA,NA,391,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,1,0.387096774193548,0,0.580645161290323,0,0.032258064516129,9,8,10.07693805,0.404540208,24.9096081198436,24.9096081198436,20,NA,9,0.758000752,0.592440797,7.4,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,12,2.3,22,17,25,1,1,17.0952381,10.52380952,1,100,34,NA,NA,NA,NA,NA,NA,NA,2.63510884329163,"Flowing"
"17","AL02","2","Flowing","intermittent_long","flowing",7.30219117362354,2.07375294781766,NA,NA,33.3833333333333,NA,NA,5.16666666666667,7.5,NA,50,10,35,5,0,0,NA,11.58,8.32,387,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0.375,0.0967741935483871,0.625,0.903225806451613,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.30219117362354,"Flowing"
"18","AL02","2","Riparian","intermittent_long","flowing",-0.489976253213672,2.56834840074994,6.17222222222222,0.286777777777778,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0.375,0.0967741935483871,0.625,0.903225806451613,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.30219117362354,"Flowing"
"19","AL02","3","Dry","intermittent_long","dry",0.0673602629418972,0.689763007350745,NA,NA,NA,17.4567304761905,NA,23.5207142857143,NA,0,50,10,35,5,0,0,1.19,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0.75,0.290322580645161,0.25,0.709677419354839,0,0,2,1,0.598074602,0.107751004,5.55052463362662,5.55052463362662,NA,9.5,9,0.758000752,0.099128617,NA,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,NA,NA,22,17,NA,NA,1,17.0952381,10.52380952,1,100,34,8.09,103.2,NA,NA,NA,NA,NA,0.0673602629418972,"Dry"
"20","AL02","3","Riparian","intermittent_long","dry",-1.03735734653562,6.98116691860391,16.8444444444445,0.256888888888889,NA,NA,NA,22.5623333333333,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0.75,0.290322580645161,0.25,0.709677419354839,0,0,2,1,9.98108452,0.499211075,19.9937161249878,19.9937161249878,20,NA,9,0.758000752,0.099128617,NA,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,NA,NA,22,17,NA,NA,1,17.0952381,10.52380952,1,100,34,NA,NA,NA,NA,NA,NA,NA,0.0673602629418972,"Dry"
"21","AL02","4","Flowing","intermittent_long","flowing",1.71282764934008,0.316521055482629,NA,NA,14.6,NA,NA,25.805,21.6,NA,50,10,35,5,0,0,NA,17.99,8.41,421,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0.875,0.67741935483871,0,0.290322580645161,0.125,0.032258064516129,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71282764934008,"Flowing"
"22","AL02","4","Riparian","intermittent_long","flowing",-0.854078942856957,8.86002553971579,18.2,0.1948,NA,NA,NA,25.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0.875,0.67741935483871,0,0.290322580645161,0.125,0.032258064516129,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71282764934008,"Flowing"
"23","AL02","5","Dry","intermittent_long","dry",0.0333287498500808,-6.00247640095228e-05,NA,NA,NA,20.57166,NA,27.468,NA,0,50,10,35,5,0,0,3.13,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0,0.0645161290322581,1,0.903225806451613,0,0.032258064516129,28,27,0.454697213,0.046986583,9.67717131079738,9.67717131079738,NA,9.5,9,0.758000752,11.43012146,NA,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,0,NA,22,17,NA,NA,1,17.0952381,10.52380952,1,100,34,7.54,1013,NA,NA,NA,NA,NA,0.0333287498500808,"Dry"
"24","AL02","5","Riparian","intermittent_long","dry",-1.2692086324925,6.03048006239956,14.6916666666667,0.132583333333333,NA,NA,NA,27.468,NA,NA,NA,NA,NA,NA,NA,NA,3.13,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0,0.0645161290322581,1,0.903225806451613,0,0.032258064516129,28,27,11.09671649,0.507847783,21.8504773703029,21.8504773703029,20,NA,9,0.758000752,11.43012146,NA,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,0,NA,22,17,NA,NA,1,17.0952381,10.52380952,1,100,34,NA,NA,NA,NA,NA,NA,NA,0.0333287498500808,"Dry"
"25","AL02","6","Dry","intermittent_long","dry",0.155617367647722,0.167443245701207,NA,NA,NA,13.588788,NA,9.6098,NA,NA,50,10,35,5,0,0,NA,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0,0.193548387096774,0.875,0.774193548387097,0.125,0.032258064516129,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155617367647722,"Dry"
"26","AL02","6","Riparian","intermittent_long","dry",-0.5021603863517,1.78449836267462,5.95,0.285416666666666,NA,NA,NA,9.7655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0,0.193548387096774,0.875,0.774193548387097,0.125,0.032258064516129,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155617367647722,"Dry"
"27","AL02","7","Dry","intermittent_long","dry",2.40756814012216,NA,NA,NA,NA,6.98501866666667,NA,4.1428,NA,0,50,10,35,5,0,0,NA,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0,0,0.125,0.032258064516129,0,0,17,16,NA,NA,NA,NA,NA,9.5,9,0.758000752,0.487603306,NA,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,NA,NA,22,17,NA,NA,1,17.0952381,10.52380952,1,100,34,NA,NA,NA,NA,NA,NA,NA,2.40756814012216,"Dry"
"28","AL02","7","Riparian","intermittent_long","dry",-0.124553190345646,1.01314794487862,1.78,NA,NA,NA,NA,4.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37585034,0.610544218,0.013605442,46.01002,5.587158,13488.83,0.424657534246575,0.556164383561644,0.0191780821917808,0,0,0.125,0.032258064516129,0,0,17,16,9.752344386,0.476886146,20.4500476010893,20.4500476010893,20,NA,9,0.758000752,0.487603306,NA,0,NA,803,16025.8,7755.3,59.10765724,28.60372738,NA,NA,22,17,NA,NA,1,17.0952381,10.52380952,1,100,34,NA,NA,NA,NA,NA,NA,NA,2.40756814012216,"Dry"
"29","AL03","1","Flowing","intermittent_moderate","flowing",1.4295053086071,1.26510140505498,NA,NA,31.9,NA,NA,5.66666666666667,4.2,0.30175,20,15,50,10,5,0,1.45,12.36,8.48,396,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,124,123,0.497069473,0.121478614,4.09182700257018,4.09182700257018,NA,16.5,10,0.994420954,1.09752326,7.9,10,0.444,735,21634.6,14018.5,50.18406189,32.51760012,13,3.8,23,19,1,10,3.4,15,40.5,8,82,279,7.1,1239,0.527,658.5,3696,30,62,1.4295053086071,"Flowing"
"30","AL03","1","Riparian","intermittent_moderate","flowing",-0.47806721180963,0.325050683742468,1.76111111111111,0.288555555555556,NA,NA,NA,5.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,NA,396,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,124,123,12.91257624,0.465581822,27.7342791961495,27.7342791961495,54.5,NA,10,0.994420954,1.09752326,7.9,10,NA,735,21634.6,14018.5,50.18406189,32.51760012,13,3.8,23,19,1,10,3.4,15,40.5,8,82,279,NA,NA,NA,NA,NA,NA,NA,1.4295053086071,"Flowing"
"31","AL03","2","Flowing","intermittent_moderate","flowing",2.99919105093345,1.32733000499229,NA,NA,31.0166666666667,NA,NA,18.25,9.3,NA,20,15,50,10,5,0,NA,11.27,8.42,412,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,170,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99919105093345,"Flowing"
"32","AL03","2","Riparian","intermittent_moderate","flowing",-0.710218860617726,3.52237105988149,7.83327777777778,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,170,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99919105093345,"Flowing"
"33","AL03","3","Flowing","intermittent_moderate","flowing",11.169137609717,3.00236959108816,NA,NA,NA,NA,NA,22.6403333333333,15.8,0.25355,17,15,50,15,1,2,1.2,9.1,7.91,405,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,220,219,0.592321064,0.129324656,4.58010933352106,4.58010933352106,NA,16.5,10,0.994420954,1.182502864,7.4,0,0.121,735,21634.6,14018.5,50.18406189,32.51760012,11,2.3,23,19,10,3,3.4,15,40.5,8,82,279,7.92,172.6,0.466,821.5,5921.5,34,106,11.169137609717,"Flowing"
"34","AL03","3","Riparian","intermittent_moderate","flowing",-0.726001647920015,3.9382033071266,15.9111111111111,0.302166666666667,NA,NA,NA,21.7138333333333,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,405,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,220,219,23.1225934,0.866563423,26.6830941467051,26.6830941467051,54.5,NA,10,0.994420954,1.182502864,7.4,0,NA,735,21634.6,14018.5,50.18406189,32.51760012,11,2.3,23,19,10,3,3.4,15,40.5,8,82,279,NA,NA,NA,NA,NA,NA,NA,11.169137609717,"Flowing"
"35","AL03","4","Flowing","intermittent_moderate","flowing",11.211747039949,3.39452723924678,NA,NA,21.6,NA,NA,33.8214,19,NA,17,15,50,15,1,2,NA,8.99,8.19,458,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.211747039949,"Flowing"
"36","AL03","4","Riparian","intermittent_moderate","flowing",-0.863356904787311,5.67774266523201,17.4466666666667,0.219333333333333,NA,NA,NA,34.3472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,1,0,0,0,0,247,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.211747039949,"Flowing"
"37","AL03","5","Dry","intermittent_moderate","dry",0.041152281848717,0.146503753042888,NA,NA,NA,18.1166666666667,0.0772499999999999,27.468,NA,0,17,15,50,15,1,2,1.87,NA,NA,NA,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,0,0.32258064516129,1,0.612903225806452,0,0.0645161290322581,8,7,0.488302121,0.066460387,7.34726568775472,7.34726568775472,NA,16.5,10,0.994420954,2.843687594,NA,0,NA,735,21634.6,14018.5,50.18406189,32.51760012,NA,NA,23,19,NA,NA,3.4,15,40.5,8,82,279,8.22,58,NA,NA,NA,NA,NA,0.041152281848717,"Dry"
"38","AL03","5","Riparian","intermittent_moderate","dry",-1.01461344318914,3.150576218192,15.5583333333334,0.1495,NA,NA,NA,27.468,NA,NA,NA,NA,NA,NA,NA,NA,1.87,NA,NA,NA,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,0,0.32258064516129,1,0.612903225806452,0,0.0645161290322581,8,7,13.63452485,0.62548155,21.7984444944859,21.7984444944859,54.5,NA,10,0.994420954,2.843687594,NA,0,NA,735,21634.6,14018.5,50.18406189,32.51760012,NA,NA,23,19,NA,NA,3.4,15,40.5,8,82,279,NA,NA,NA,NA,NA,NA,NA,0.041152281848717,"Dry"
"39","AL03","6","Flowing","intermittent_moderate","flowing",0.820420350581118,0.848218183751517,NA,NA,10.5,NA,NA,7.77525,7.3,NA,17,15,50,15,1,2,NA,13.5,7.8,490,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,0.935483870967742,0,0.0645161290322581,0,0,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365665267780953,"Dry"
"40","AL03","6","Dry","intermittent_moderate","dry",0.160168137122419,0.506313161890374,NA,NA,NA,5.47956,NA,10.1936666666667,NA,NA,17,15,50,15,1,2,NA,NA,NA,NA,0.744637385,0.220633299,0.034729316,45.968351,5.575517,20053.87,0.923287671232877,0.0712328767123288,0.00547945205479452,1,0.935483870967742,0,0.0645161290322581,0,0,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365665267780953,"Dry"
